,STOCK,SMB,HML
1223,MFIC,0.33847272,0.186894049
793,FUN,0.554664917,0.186434804
1453,PAA,0.029387084,0.184094172
2065,WMPN,0.141248091,0.183592763
2018,VSEC,0.152426463,0.182073473
895,HAL,0.429148709,0.181081367
933,HMN,0.407408892,0.180868267
169,AZO,0.041112396,0.179404527
1704,SGU,0.477154922,0.17651823
1407,OCSL,0.279680757,0.176242712
1126,LANC,0.10257461,0.173742241
1312,NAII,0.751824507,0.169533761
527,DHX,0.138134015,0.167917621
710,FCN,0.293815262,0.167832922
1916,TTE,0.641934431,0.16705405
500,DAC,0.167354128,0.165957921
614,ELTK,0.675968009,0.163772179
1542,PNRG,0.20750672,0.162828552
2051,WHLM,0.069154295,0.161614971
377,CLFD,0.018407834,0.161442884
1180,LYTS,-0.324708577,0.158976968
203,BFC,0.167001714,0.157821577
1835,TCI,-0.544365322,0.157537027
2101,YORW,0.046196699,0.15748613
1115,KRNY,0.106758339,0.155404368
1870,TK,0.178498708,0.153511581
930,HLIT,0.131962422,0.153036649
1189,MANH,0.304490388,0.152540209
310,CB,0.404289166,0.151712164
1869,TJX,0.262791841,0.150904964
1014,IMMR,0.625140533,0.149397643
519,DGICB,0.292356347,0.144721549
1728,SKT,-0.193538376,0.143972903
1269,MOV,0.757341581,0.143828442
630,EPAC,0.583626641,0.143577179
1680,SCHL,0.081134645,0.142633418
1130,LCNB,-0.140633175,0.141992572
799,G,0.57496665,0.141802778
216,BHB,-0.027199619,0.140852848
1352,NNN,0.042605698,0.140573675
1488,PERI,0.026352348,0.139895038
357,CHS,-0.207784991,0.138846928
1675,SBS,0.22173362,0.13732758
1313,NAT,-0.045748902,0.136796973
1040,ISSC,0.256440544,0.136327182
961,HSY,0.217903396,0.136062249
1581,PZZA,0.335108345,0.135684121
964,HTH,-0.013605011,0.135375952
580,EC,0.424135448,0.135272855
1759,SOL,1.029482081,0.134305942
870,GPRK,0.673694083,0.133392385
1860,THG,0.398303203,0.133217123
1578,PXD,0.192531777,0.128742481
1591,RBA,0.403872445,0.127672231
1851,TFSL,0.094516239,0.126926795
544,DOOR,-0.346538157,0.126090647
1956,UNB,-0.041684802,0.124589918
55,AIG,0.238195587,0.123184149
488,CWT,0.254514668,0.122949604
1868,TITN,0.352397326,0.121276859
481,CVS,0.236888805,0.120456266
374,CLB,0.240039957,0.119838079
1167,LRN,0.690719287,0.119531969
997,IDT,0.538246974,0.117424311
954,HRL,0.084709789,0.116899878
1681,SCHW,0.232692945,0.115941986
553,DRQ,0.240411456,0.113067127
1484,PED,-0.593307561,0.112068849
855,GMAB,0.135740672,0.111500716
1326,NEE,0.399721622,0.111296357
179,BBD,0.477328455,0.111105408
1496,PFLT,0.284665005,0.110959075
343,CFR,0.19024318,0.110648389
361,CI,0.413493746,0.109473554
1048,ITUB,0.383565587,0.108750533
696,FANH,0.550458545,0.10839948
1957,UNF,0.508429757,0.107398783
426,CPB,0.026718955,0.107330089
1436,ORI,0.093209128,0.106762559
1222,MFG,0.172575461,0.106586344
996,IDR,-0.00986157,0.104865524
1198,MBWM,-0.079306836,0.104749806
464,CTAS,0.214082978,0.103276833
1163,LPLA,0.367827032,0.102101648
985,IBCP,-0.000450383,0.101282183
1491,PFE,0.328520118,0.100667154
1193,MASI,-0.128276786,0.100122742
1303,MVO,0.286309084,0.09741607
1319,NBTB,0.219672849,0.096707634
1906,TSAT,0.585773676,0.095048264
1908,TSCO,0.20303726,0.094239269
1397,NXST,-0.167642849,0.093671361
934,HMNF,0.115036657,0.093298669
