SMB_interaction,HML_interaction,Stock,R_squared
130.93917520276068,533.3785147384406,A,0.5682006998654666
656.2343730305374,-2777.181586141576,AAL,0.3357148841398987
-112.10568326244412,988.9985778517386,AAPL,0.5206139130953495
-1213.2398146029636,2245.1749344609875,ABT,0.3708171362143665
-127.65134195627044,1376.686479749862,ACGL,0.3262953364327522
767.1297769319028,-748.1189726795668,ACN,0.5908066149061653
884.9054733123763,-1524.3291444649406,ADBE,0.6036520355904127
-650.299764101227,138.79943958676495,ADI,0.4764814409394835
-1281.4106804294925,1933.028256821332,ADM,0.29115039779334084
-670.1525867550993,352.75493736726787,ADP,0.43377486001818366
2644.2885360999685,-2634.106473218538,ADSK,0.5879530455752833
-619.3541047432153,754.1635609866216,AEE,0.18842073493479172
-1255.2446568686537,1147.5881245815474,AEP,0.15910682126881037
1756.395700799395,-1929.306549738249,AFL,0.6518308876018968
2368.1041499271605,-3256.762498649564,AIG,0.23852402228696246
284.89584603594136,-519.1787243395087,AIZ,0.36499295664939535
1022.1947247979986,-1032.2239734378522,AJG,0.5246947905290065
1451.7924777889928,-2524.643652170058,AKAM,0.23057987170604133
1196.3461255084098,-371.7794349299607,ALB,0.3981143002001277
822.3868264324939,-1686.3180315117424,ALGN,0.44368845527057765
1493.6169900937343,-2175.6735581354023,AMAT,0.5615458678554313
1630.5144686533065,-2232.38434983726,AMD,0.39519419344022944
740.2219924138932,-833.1263529788514,AME,0.5723691976910594
-47.649469819525294,445.43687536973005,AMGN,0.22144775120277704
215.51377151153787,-314.2854424610163,AMP,0.7390177818098487
-435.58444888318644,606.3393746494675,AMT,0.19449534178990568
469.2746772578141,-107.43541582713671,AMZN,0.5246100209345917
308.88046123840587,-355.72421223606705,ANSS,0.6024190686139161
-4.130059005748938,238.4190247749119,AON,0.47996152679419013
-494.4580446336643,450.2063675663967,AOS,0.5459960588679631
-507.7841678393978,1992.4053058674842,APA,0.3554000838066874
108.89900333958974,314.9340647956953,APD,0.5076699694613324
2.5518519492533325,-158.10060251365306,APH,0.634482828551449
-79.23980175311937,475.49806993394355,ARE,0.37512124722403006
-297.26764389672815,-87.78193543234805,ATO,0.26782011029258235
534.3425215585602,-711.1937259938625,AVB,0.4779594661484533
1798.2130388341482,-2240.700680278118,AVGO,0.3184230945047041
-736.967555113267,-173.98537411759588,AVY,0.5578364092454868
-424.2911219562851,503.8495571198613,AWK,0.20202433630646977
1088.7913292393152,-547.4704433350148,AXON,0.10762547375448905
1214.6064617873067,-2341.0142505369736,AXP,0.5620182424917239
-319.1421450871093,898.9582742667948,AZO,0.1652005071793462
271.58840409899904,-842.4899737770887,BAC,0.6175559188275408
-676.936125829767,167.05063114089833,BALL,0.3128004744990718
178.42442457895214,233.25653645073433,BBWI,0.2628350322140396
-1340.970764154258,1065.6532511581806,BBY,0.3025576525159227
-1242.6338545842507,2278.9426468666215,BDX,0.339279043742587
-450.2236298524215,253.85634321439218,BEN,0.6596647851981325
-716.5790248907506,178.6723356875086,BG,0.26937583569004053
377.1196223382048,901.1025401884353,BIIB,0.12065132057759331
-610.142819212062,902.8149810838406,BK,0.490590959303019
683.9448758845142,-508.9089129303383,BKNG,0.32365593433629447
-457.51548401250767,-33.28424420914299,BKR,0.3068665244333154
3539.6383725377545,-5656.909601295191,BLDR,0.4064760211724553
-236.17299775437417,57.018028915479896,BLK,0.7005855958787831
-0.4601584623714456,496.7585777583067,BMY,0.19886460518857607
266.0031748509561,-1011.5827062301837,BR,0.3511847134767696
335.9453001771255,-14.879571735027323,BRO,0.3979549102729736
663.5091400415677,-421.89602811499714,BSX,0.24841139376399202
146.6631552717035,214.77289548370157,BWA,0.5501741569767837
289.92754049259173,-568.2886694115515,BX,0.5520827321945123
129.59915160177968,-224.41019150327583,BXP,0.4887768280485346
112.68032007923397,-1233.547720041085,C,0.6541049847155969
-1810.5339730169485,1982.6186397750762,CAG,0.26190437184816007
-1064.5581366812946,985.6312337607559,CAH,0.2918650600654764
386.96147678265385,-1453.3934059161006,CAT,0.6436413994695019
601.59152809333,144.4462105443792,CB,0.5218256984683267
949.759607144126,-783.8802761450785,CBOE,0.09595768897969181
2910.206939220852,-3634.0347191334,CBRE,0.6480554796163367
-244.70563239810986,-256.58381306703916,CCI,0.2644599662157663
1098.638876542773,-1404.4859901012526,CDNS,0.45767269923306886
627.2928016459329,-2372.45840418042,CE,0.5836578494589433
105.63498517780137,1109.2482564032948,CF,0.2128906261607404
35.495765307463856,169.4157082368253,CHD,0.149591922931255
-447.5726257271753,519.2683858837677,CHRW,0.326062710325396
-1854.7150204951433,2505.996575349824,CHTR,0.3077624030578503
-422.46496733450994,1704.2955129761913,CI,0.3079712774795025
-651.319913419681,1436.954873437253,CINF,0.3968390329236915
-978.631480864681,1424.6177691143337,CL,0.29940932376544416
-454.7433884245377,-275.1525362507727,CLX,0.16469821795539263
-2007.8236302004946,2426.9352419297347,CMA,0.5866576848238243
-579.2827790726218,1037.778859101436,CMCSA,0.43739752737121473
845.329765218751,-325.4235996274359,CME,0.28635968797171174
75.93939937006634,-697.6570563481788,CMG,0.26896044805006136
-183.7397291128198,-269.24278962841055,CMI,0.6169707782865772
-683.2723112418756,843.8734432945788,CMS,0.12415970607430171
-740.1995688839938,1053.9846919023546,CNC,0.2175867522539663
-803.7269244606174,683.1110009343953,CNP,0.22254932262506988
363.04868794240167,-2055.0799321034237,COF,0.6187298746591136
-252.35633116251142,397.1029749598628,COO,0.2450441052293717
-519.5543909789479,563.6867097654753,COP,0.36464389215909143
