DATE,FEDFUNDS
1954-07-31,0.8
1954-10-31,1.0466666666666666
1955-01-31,1.1666666666666667
1955-04-30,1.3566666666666667
1955-07-31,1.5833333333333333
1955-10-31,2.126666666666667
1956-01-31,2.4266666666666667
1956-04-30,2.54
1956-07-31,2.736666666666667
1956-10-31,2.8800000000000003
1957-01-31,2.8866666666666667
1957-04-30,2.986666666666667
1957-07-31,2.9966666666666666
1957-10-31,3.4033333333333338
1958-01-31,2.9933333333333336
1958-04-30,1.3766666666666667
1958-07-31,0.7466666666666667
1958-10-31,1.6966666666666665
1959-01-31,2.39
1959-04-30,2.73
1959-07-31,3.2533333333333334
1959-10-31,3.7466666666666666
1960-01-31,3.9933333333333336
1960-04-30,3.91
1960-07-31,3.466666666666667
1960-10-31,2.6833333333333336
1961-01-31,1.9566666666666668
1961-04-30,2.0166666666666666
1961-07-31,1.6266666666666667
1961-10-31,2.0466666666666664
1962-01-31,2.3633333333333333
1962-04-30,2.6666666666666665
1962-07-31,2.5833333333333335
1962-10-31,2.91
1963-01-31,2.9299999999999997
1963-04-30,2.9599999999999995
1963-07-31,3.0033333333333334
1963-10-31,3.49
1964-01-31,3.4466666666666668
1964-04-30,3.4600000000000004
1964-07-31,3.473333333333333
1964-10-31,3.436666666666667
1965-01-31,3.7566666666666664
1965-04-30,4.04
1965-07-31,4.079999999999999
1965-10-31,4.073333333333333
1966-01-31,4.28
1966-04-30,4.6433333333333335
1966-07-31,5.123333333333334
1966-10-31,5.486666666666667
1967-01-31,5.366666666666667
1967-04-30,4.526666666666666
1967-07-31,3.9033333333333338
1967-10-31,3.9233333333333333
1968-01-31,4.416666666666667
1968-04-30,5.173333333333333
1968-07-31,6.073333333333333
1968-10-31,5.906666666666666
1969-01-31,6.046666666666667
1969-04-30,6.936666666666667
1969-07-31,8.726666666666667
1969-10-31,9.113333333333333
1970-01-31,8.933333333333334
1970-04-30,8.28
1970-07-31,7.59
1970-10-31,6.37
1971-01-31,4.88
1971-04-30,3.8633333333333333
1971-07-31,4.95
1971-10-31,5.44
1972-01-31,4.1866666666666665
1972-04-30,3.766666666666667
1972-07-31,4.426666666666667
1972-10-31,4.91
1973-01-31,5.4433333333333325
1973-04-30,6.93
1973-07-31,8.91
1973-10-31,10.43
1974-01-31,9.876666666666667
1974-04-30,9.61
1974-07-31,12.053333333333333
1974-10-31,11.136666666666665
1975-01-31,8.37
1975-04-30,5.756666666666667
1975-07-31,5.623333333333332
1975-10-31,6.066666666666666
1976-01-31,5.096666666666667
1976-04-30,4.81
1976-07-31,5.359999999999999
1976-10-31,5.1866666666666665
1977-01-31,4.736666666666667
1977-04-30,4.7
1977-07-31,5.386666666666667
1977-10-31,6.169999999999999
1978-01-31,6.59
1978-04-30,6.82
1978-07-31,7.59
1978-10-31,8.483333333333333
1979-01-31,9.953333333333333
1979-04-30,10.053333333333333
1979-07-31,10.333333333333334
1979-10-31,12.046666666666667
1980-01-31,13.593333333333334
1980-04-30,16.310000000000002
1980-07-31,9.826666666666666
1980-10-31,11.096666666666666
1981-01-31,17.94333333333333
1981-04-30,15.450000000000001
1981-07-31,18.886666666666667
1981-10-31,16.256666666666664
1982-01-31,12.966666666666667
1982-04-30,14.799999999999999
1982-07-31,13.729999999999999
1982-10-31,10.046666666666667
1983-01-31,8.943333333333333
1983-04-30,8.693333333333333
1983-07-31,8.993333333333334
1983-10-31,9.496666666666668
1984-01-31,9.456666666666667
1984-04-30,9.93
1984-07-31,10.87
1984-10-31,10.976666666666667
1985-01-31,8.72
1985-04-30,8.450000000000001
1985-07-31,7.793333333333333
1985-10-31,7.936666666666667
1986-01-31,8.153333333333334
1986-04-30,7.443333333333334
1986-07-31,6.776666666666666
1986-10-31,5.97
1987-01-31,6.46
1987-04-30,6.2
1987-07-31,6.72
1987-10-31,7.080000000000001
1988-01-31,6.763333333333333
1988-04-30,6.676666666666667
1988-07-31,7.45
1988-10-31,8.166666666666666
1989-01-31,8.743333333333332
1989-04-30,9.683333333333332
1989-07-31,9.526666666666666
1989-10-31,8.950000000000001
1990-01-31,8.41
1990-04-30,8.26
1990-07-31,8.206666666666665
1990-10-31,8.146666666666667
1991-01-31,7.343333333333334
1991-04-30,6.093333333333334
1991-07-31,5.833333333333333
1991-10-31,5.44
1992-01-31,4.423333333333333
1992-04-30,3.9233333333333333
1992-07-31,3.61
1992-10-31,3.206666666666667
1993-01-31,3.01
1993-04-30,3.0199999999999996
1993-07-31,3.033333333333333
1993-10-31,3.0366666666666666
1994-01-31,3.01
1994-04-30,3.3833333333333333
1994-07-31,4.173333333333333
1994-10-31,4.653333333333333
1995-01-31,5.423333333333333
1995-04-30,5.983333333333333
1995-07-31,5.953333333333333
1995-10-31,5.766666666666667
1996-01-31,5.653333333333333
1996-04-30,5.25
1996-07-31,5.303333333333334
1996-10-31,5.253333333333333
1997-01-31,5.283333333333333
1997-04-30,5.363333333333333
1997-07-31,5.526666666666666
1997-10-31,5.526666666666666
1998-01-31,5.526666666666666
1998-04-30,5.483333333333333
1998-07-31,5.53
1998-10-31,5.376666666666666
1999-01-31,4.713333333333334
1999-04-30,4.77
1999-07-31,4.83
1999-10-31,5.163333333333333
2000-01-31,5.390000000000001
2000-04-30,5.866666666666667
2000-07-31,6.446666666666666
2000-10-31,6.510000000000001
2001-01-31,6.296666666666667
2001-04-30,5.2
2001-07-31,3.983333333333333
2001-10-31,3.0700000000000003
2002-01-31,1.88
2002-04-30,1.74
2002-07-31,1.7433333333333334
2002-10-31,1.7466666666666668
2003-01-31,1.2733333333333334
