HML_interaction,Stock,R_squared
1191.4668772941604,A,0.5139905817428263
-614.0873711191051,AAL,0.21954240864978547
739.8056663869164,AAPL,0.5164739841188539
963.3693591731515,ABT,0.3374651959183663
1322.1459800833404,ACGL,0.32378304285387827
85.14657893844105,ACN,0.5791122254835104
-782.0279375132951,ADBE,0.59559699884903
-88.18888779931017,ADI,0.43002691070522636
655.8640194626671,ADM,0.26879494953638405
-215.51281951336824,ADP,0.4222845122344979
127.02396156785592,ADSK,0.548320680404553
166.44078258418392,AEE,0.18074259789065406
64.64467632617892,AEP,0.11535033447257736
-194.18160726189384,AFL,0.6325230687172493
-984.0932160790315,AIG,0.23358826318878667
-228.50053051909399,AIZ,0.36381765591376125
244.41652287261257,AJG,0.483751397769302
-848.071556013557,AKAM,0.209515302869416
1421.4099216747875,ALB,0.3517413635097184
0.22736917815296986,ALGN,0.39018398944499655
-278.5017003935415,AMAT,0.5157699109973737
-644.2217141654965,AMD,0.389758171605176
233.19080263209332,AME,0.5311363602992962
321.27957627953117,AMGN,0.21944489445905757
272.7528092119804,AMP,0.7190688337310819
153.46397670589224,AMT,0.19103908931357172
376.81042351178115,AMZN,0.5225526662830445
18.913261833539853,ANSS,0.6001950798776345
322.6028572325044,AON,0.47657809950482577
515.0990076925563,AOS,0.4831307029724937
1823.7173340067059,APA,0.3452989362237956
612.697719674421,APD,0.49692471061879606
333.6738959556261,APH,0.5535137670331953
697.8622371248962,ARE,0.3542346467632358
-156.62589745597788,ATO,0.2437945099995633
-18.318103398126365,AVB,0.464825581984202
-264.99684867145976,AVGO,0.27409076676622357
-628.6617950909839,AVY,0.5393795687491836
160.09179860339447,AWK,0.19607495800896724
829.5323421075728,AXON,0.09645633650196461
-323.46115485587353,AXP,0.460449159758219
770.0485883166631,AZO,0.15049508819878965
-687.1792546407902,BAC,0.6165384716394122
-349.9790396329924,BALL,0.30208899481201623
957.8380955677895,BBWI,0.2367509512211824
213.06108968661664,BBY,0.2733373127289469
1122.2548556010556,BDX,0.3109746517457441
73.18925198835962,BEN,0.6466749072419449
-719.7923091744642,BG,0.2555920919077308
1251.2918203501606,BIIB,0.11976977831896751
263.96299783598903,BK,0.485950081329919
502.77600367481057,BKNG,0.30284026242120365
242.19450361601093,BKR,0.24154942036117233
-1322.3799789054574,BLDR,0.33261067115870235
-126.94575105848818,BLK,0.699776127810819
293.2458592170494,BMY,0.18871220777702924
-454.0625357322093,BR,0.32203352399657514
342.2708765693819,BRO,0.39570340669472237
424.27663021604525,BSX,0.23429030929005146
1057.6138037784688,BWA,0.4891331483931908
-18.803005919533867,BX,0.5431943881905046
484.00453944700286,BXP,0.42219476621424445
-1464.2892879519663,C,0.6481739155482928
453.50313775861275,CAG,0.19889123738001668
266.0934136268088,CAH,0.25489601362218883
-557.1048995474252,CAT,0.6049675848156164
855.9066672098,CB,0.5077235165995257
152.1491845695392,CBOE,0.08326555559319182
405.3869322453422,CBRE,0.4851884113892113
-297.5861524414173,CCI,0.25372339840600044
-13.669143884390111,CDNS,0.4220587600958502
-1147.0862802855017,CE,0.5430455887650235
1755.8065090703928,CF,0.18236611004643277
188.7118984669962,CHD,0.14946742219259024
331.06206672896735,CHRW,0.3060637406241743
600.0841587757823,CHTR,0.2753797846319296
1522.7428331613507,CI,0.2951590960229592
740.5291283589883,CINF,0.38848780165314856
403.988876662183,CL,0.2666880260247776
-667.7038461925421,CLX,0.15925267895777417
1160.8136470779657,CMA,0.48534500263023816
592.052754907594,CMCSA,0.43039473181553156
-58.88500603141333,CME,0.218111557185782
-395.7842108251984,CMG,0.26284935469499615
248.0560472875882,CMI,0.5373706272678743
392.92564793513407,CMS,0.08976323617563331
813.6528005930883,CNC,0.18471577664648708
85.77561845859752,CNP,0.19917994755104462
-1731.3423895384158,COF,0.6179679820628217
438.3895050917887,COO,0.22725701285664635
118.52340444968917,COP,0.3616589329263099
-87.97786039870387,COR,0.27185782387142843
-206.5879640143203,COST,0.48233714177715215
565.6014736428897,CPB,0.11938453825739237
-788.3905581581026,CPRT,0.3021667590740973
66.24795294325368,CPT,0.46173994319463874
758.887808855603,CRL,0.39241908907928447
-1360.8768990597484,CRM,0.43130249852384606
897.038742461164,CSCO,0.46951211486692723
152.8267890694326,CSGP,0.3524378721900806
131.66631783176734,CSX,0.5141224268630151
288.3692252167794,CTAS,0.49276524270044686
-1184.7236897105204,CTRA,0.24504697954085453
89.13797484033681,CTSH,0.3597334535740039
1636.49729997455,CVS,0.3423222962436566
185.38805441039574,CVX,0.48859548912418116
54.430276806148676,D,0.17291773663695764
-1395.3747208988714,DAL,0.3754961561400909
-144.4701540392653,DD,0.5220139946658107
672.5781783684125,DE,0.5316727536534034
-496.620276855532,DFS,0.5528550469048286
771.5096902373622,DG,0.09451899286463405
510.7241498613595,DGX,0.25527021444883224
299.13979671808187,DHI,0.23732548030642908
390.5835240544844,DHR,0.5183083188887863
581.6261591772009,DIS,0.5373830046211894
-562.2799402108614,DLR,0.2546724950461101
941.8438421442478,DLTR,0.1253445295099218
259.9504750404676,DOV,0.6580967832222762
826.2462098805695,DPZ,0.15398692334003983
-367.90306927826185,DRI,0.2106744238898689
-63.373990419758535,DTE,0.2616925120672957
109.47471322376974,DUK,0.09486685714016041
-376.29395977036614,DVA,0.3283583984611461
720.7049207529872,DVN,0.3357512400583269
2004.1363599933195,DXCM,0.1319905805519943
83.95735113852524,EA,0.2060660516229199
635.9038791691901,EBAY,0.4360910625015033
-175.2702983057884,ECL,0.5035586478382117
-178.45064685851102,ED,0.06853442655626563
